need_kwh,charger_kw,days,best_kg_mean,worst_kg_mean,saving_kg_mean,saving_kg_median,saving_kg_p10,saving_kg_p90,saving_pct_mean,saving_pct_median,saving_pct_p10,saving_pct_p90
10.0,7.0,90.0,5.1801229721364415,5.771425919544107,0.5913029474076649,0.0,0.0,3.227702432619122,8.988212673417655,0.0,0.0,54.07398838622611
10.0,50.0,90.0,5.176068650248373,5.774546885821043,0.5984782355726703,0.0,0.0,3.248105756844942,9.07140941274969,0.0,0.0,54.585792294502
20.0,7.0,90.0,10.38184378288052,11.529324609955822,1.1474808270753023,0.0,0.0,6.15438408355042,8.771172884195126,0.0,0.0,51.936338135583554
20.0,50.0,90.0,10.352137300496747,11.549093771642086,1.1969564711453407,0.0,0.0,6.496211513689884,9.07140941274969,0.0,0.0,54.585792294502
40.0,7.0,90.0,20.900773042946426,22.981471567552475,2.0806985246060496,0.0,0.0,10.919799958863788,8.071118951886355,0.0,0.0,48.532029286951996
40.0,50.0,90.0,20.704274600993493,23.098187543284173,2.3939129422906813,0.0,0.0,12.992423027379768,9.07140941274969,0.0,0.0,54.585792294502
