local_time,intensity_hat
2025-09-04 04:00:00+10:00,642.7316100585041
2025-09-04 05:00:00+10:00,642.7316100585041
2025-09-04 06:00:00+10:00,630.3113721361422
2025-09-04 07:00:00+10:00,599.5473650521477
2025-09-04 08:00:00+10:00,539.3296339065216
2025-09-04 09:00:00+10:00,470.92183788804607
2025-09-04 10:00:00+10:00,397.3357924717725
2025-09-04 11:00:00+10:00,350.6296984374254
2025-09-04 12:00:00+10:00,352.6751285507842
2025-09-04 13:00:00+10:00,353.592040046751
2025-09-04 14:00:00+10:00,374.93691431083016
2025-09-04 15:00:00+10:00,411.95987710411896
2025-09-04 16:00:00+10:00,497.99334578511406
2025-09-04 17:00:00+10:00,577.1224931936995
2025-09-04 18:00:00+10:00,605.995359868639
2025-09-04 19:00:00+10:00,625.6241780905696
2025-09-04 20:00:00+10:00,640.5679846027799
2025-09-04 21:00:00+10:00,652.2961297634205
2025-09-04 22:00:00+10:00,657.5619252638753
2025-09-04 23:00:00+10:00,658.4827346510704
2025-09-05 00:00:00+10:00,663.2150569065585
2025-09-05 01:00:00+10:00,666.1398621545484
2025-09-05 02:00:00+10:00,668.7031739362526
2025-09-05 03:00:00+10:00,668.7031739362526
