name,distance_km,speed_kmph,price_basis,need_kwh,charger_kw,duration_h_base,duration_h_travel,duration_h_effective,best_price_start,best_price_mean_c_per_kwh,best_price_cost_AUD,best_price_emissions_kg,best_intensity_start,best_intensity_mean_g_per_kwh,best_intensity_cost_AUD,best_intensity_emissions_kg,cost_delta_AUD,emissions_delta_kg
CBD,0.8,40.0,retailB_c_per_kwh,40.0,11.0,3.64,0.04,3.68,2025-09-14 10:00:00+10:00,12.822,5.53,17.97,2025-09-08 10:00:00+10:00,236.8,6.62,9.47,-1.09,8.5
CBD,0.8,40.0,spot_c_per_kwh,40.0,50.0,0.8,0.04,0.84,2025-09-14 12:00:00+10:00,-4.455,-1.38,19.01,2025-09-08 11:00:00+10:00,232.9,-0.17,9.32,-1.21,9.69
CBD,0.8,40.0,retailA_c_per_kwh,40.0,50.0,0.8,0.04,0.84,2025-09-14 12:00:00+10:00,12.545,5.42,19.01,2025-09-08 11:00:00+10:00,232.9,6.63,9.32,-1.21,9.69
CBD,0.8,40.0,retailB_c_per_kwh,40.0,50.0,0.8,0.04,0.84,2025-09-14 12:00:00+10:00,12.545,5.42,19.01,2025-09-08 11:00:00+10:00,232.9,6.63,9.32,-1.21,9.69
Werribee,0.4,40.0,spot_c_per_kwh,10.0,7.0,1.43,0.02,1.45,2025-09-14 12:00:00+10:00,-4.455,-0.25,4.75,2025-09-08 11:00:00+10:00,233.2,0.06,2.33,-0.31,2.42
Werribee,0.4,40.0,retailA_c_per_kwh,10.0,7.0,1.43,0.02,1.45,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 11:00:00+10:00,233.2,1.76,2.33,-0.31,2.42
Werribee,0.4,40.0,retailB_c_per_kwh,10.0,7.0,1.43,0.02,1.45,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 11:00:00+10:00,233.2,1.76,2.33,-0.31,2.42
Werribee,0.4,40.0,spot_c_per_kwh,10.0,11.0,0.91,0.02,0.93,2025-09-14 12:00:00+10:00,-4.455,-0.25,4.75,2025-09-08 11:00:00+10:00,232.8,0.06,2.33,-0.31,2.42
Werribee,0.4,40.0,retailA_c_per_kwh,10.0,11.0,0.91,0.02,0.93,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 11:00:00+10:00,232.8,1.76,2.33,-0.31,2.42
Werribee,0.4,40.0,retailB_c_per_kwh,10.0,11.0,0.91,0.02,0.93,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 11:00:00+10:00,232.8,1.76,2.33,-0.31,2.42
Werribee,0.4,40.0,spot_c_per_kwh,10.0,50.0,0.2,0.02,0.22,2025-09-14 12:00:00+10:00,-4.455,-0.25,4.75,2025-09-08 12:00:00+10:00,233.5,0.05,2.34,-0.3,2.41
Werribee,0.4,40.0,retailA_c_per_kwh,10.0,50.0,0.2,0.02,0.22,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 12:00:00+10:00,233.5,1.75,2.34,-0.3,2.41
Werribee,0.4,40.0,retailB_c_per_kwh,10.0,50.0,0.2,0.02,0.22,2025-09-14 12:00:00+10:00,12.545,1.45,4.75,2025-09-08 12:00:00+10:00,233.5,1.75,2.34,-0.3,2.41
