local_time,y_true,y_hat
2025-08-28 03:00:00+10:00,508.84339942296674,462.7775984430811
2025-08-28 04:00:00+10:00,516.9801023700604,476.2937909383357
2025-08-28 05:00:00+10:00,528.5606030715941,488.6599662178539
2025-08-28 06:00:00+10:00,517.9417633851014,524.4343162221858
2025-08-28 07:00:00+10:00,457.7281711879167,489.54850114016546
2025-08-28 08:00:00+10:00,381.1572263412333,436.59859787135076
2025-08-28 09:00:00+10:00,339.22710233559206,322.8385559919629
2025-08-28 10:00:00+10:00,270.74457168187644,304.03777202826154
2025-08-28 11:00:00+10:00,246.51194115653627,295.3873952780128
2025-08-28 12:00:00+10:00,254.2222200249576,284.5596800173031
2025-08-28 13:00:00+10:00,257.10670062398566,264.3951655883197
2025-08-28 14:00:00+10:00,262.31060375321,284.868122763491
2025-08-28 15:00:00+10:00,287.9246515326032,279.17821646451625
2025-08-28 16:00:00+10:00,376.4826620981482,355.4089835826844
2025-08-28 17:00:00+10:00,477.3606056530772,457.757856916369
2025-08-28 18:00:00+10:00,546.1922345774201,524.1095347191094
2025-08-28 19:00:00+10:00,546.389893080744,566.5134314835774
2025-08-28 20:00:00+10:00,563.0044690569882,552.1776061765885
2025-08-28 21:00:00+10:00,570.611897084616,559.9126237329219
2025-08-28 22:00:00+10:00,577.9505496234094,572.3469764095798
2025-08-28 23:00:00+10:00,572.7465882481149,572.4749030607915
2025-08-29 00:00:00+10:00,557.1171215341324,548.0060808065869
2025-08-29 01:00:00+10:00,554.205217876232,538.1390380623693
2025-08-29 02:00:00+10:00,531.7185137908303,539.453564488599
2025-08-29 03:00:00+10:00,521.3392651499303,489.2256295988674
2025-08-29 04:00:00+10:00,521.1313062538126,502.93238050008347
2025-08-29 05:00:00+10:00,537.4974805675478,503.76937675951655
2025-08-29 06:00:00+10:00,513.7773375791954,520.1473922151855
2025-08-29 07:00:00+10:00,453.1653823444127,462.21350818715126
2025-08-29 08:00:00+10:00,361.39845111873126,389.4194712570333
2025-08-29 09:00:00+10:00,305.8165165480371,310.16266115049643
2025-08-29 10:00:00+10:00,252.73327622243173,268.7626703492178
2025-08-29 11:00:00+10:00,235.36494168922863,253.77708407444797
2025-08-29 12:00:00+10:00,241.08066576459672,250.72755217694026
2025-08-29 13:00:00+10:00,261.7760989723988,249.07817378251383
2025-08-29 14:00:00+10:00,274.46180700088547,277.71480481406985
2025-08-29 15:00:00+10:00,313.0001139800962,295.3063948179736
2025-08-29 16:00:00+10:00,390.05422662806666,359.06648662422543
2025-08-29 17:00:00+10:00,474.7742311375145,489.43154866200126
2025-08-29 18:00:00+10:00,536.3414485342274,521.7105733301864
2025-08-29 19:00:00+10:00,547.9606010290186,549.2982692481309
2025-08-29 20:00:00+10:00,538.0798964405855,566.3793095813118
2025-08-29 21:00:00+10:00,549.4786212174815,549.6434410475725
2025-08-29 22:00:00+10:00,541.0599511405123,557.7755658496552
2025-08-29 23:00:00+10:00,524.3140431740544,545.7566764213221
2025-08-30 00:00:00+10:00,500.8730053231546,525.0201724066179
