origin,need_kwh,charger_kw,hours_required,best_start_local,best_end_local,best_mean_g_per_kwh,worst_mean_g_per_kwh,emissions_best_kg,emissions_worst_kg,emissions_saving_kg,site_name,site_operator,site_power_kw,site_connectors,site_distance_km,site_lat,site_lon
CBD_TownHall,20,7,3,2025-09-15 08:00:00+10:00,2025-09-15 10:00:00+10:00,478.7,536.2,9.6,10.7,1.1,RMIT - City Campus,Unknown,75.0,4.0,0.82,-37.80624795114712,144.96401596254236
Werribee,20,7,3,2025-09-15 08:00:00+10:00,2025-09-15 10:00:00+10:00,478.7,536.2,9.6,10.7,1.1,Ampcharge Werribee,Unknown,180.0,2.0,0.6,-37.899759968148494,144.6650849021937
Doncaster,20,7,3,2025-09-15 08:00:00+10:00,2025-09-15 10:00:00+10:00,478.7,536.2,9.6,10.7,1.1,Telsa Supercharger Box Hill,Unknown,250.0,12.0,5.74,-37.83781642298442,145.1346849142019
